JobId, User, Release, TagSet, Status, DataSet, Dir
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
522 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_16_13_53_11
523 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_15_14_17_48
523 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_15_14_17_48
524 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_400/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_17_18_13_51
524 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_400/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_17_18_13_51
530 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_400/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_19_10_59_29
531 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_19_26
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T1T1_2BC_350_100_MadGraph/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_300_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_450/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_300_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_100/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
532 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2tt_2j_600_400/Summer12-PU50bx25_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_21_14_29_04
535 clucas CMSSW_5_3_3_patch2 V17-12 Processing /SMS-T2cc_Filter_SumPt_130GeV_mStop-175to250_mLSP-95to240_8TeV-Pythia6Z/Summer12-START52_V9_FSIM-v1/AODSIM 2013_01_23_20_48_58
548 georgia CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu25ns/Run2012D-PromptReco-v1/RECO 2013_02_07_16_46_39
568 yeshaq CMSSW_5_3_3_patch2 V17-12 Processing /SMS-MadGraph_2J_T2cc_NoFilter_mStop-100to250_mLSP-20to230_8TeV-Pythia6Zstar/Summer12-START52_V9_FSIM-v1/AODSIM 2013_02_20_15_41_34
569 yeshaq CMSSW_5_3_3_patch2 V17-12 Processing /SMS-T2cc_NoFilter_mStop-175to250_mLSP-95to240_8TeV-Pythia6Z/Summer12-START52_V9_FSIM-v1/AODSIM 2013_02_20_15_57_46
579 karage CMSSW_5_3_3_patch2 V17-12 Complete /SMS-MadGraph_Pythia6Zstar_8TeV_T1tttt_2J_mGo-800to1400_mLSP-1_50GeVX50GeV_Binning/Summer12-START52_V9_FSIM-v2/AODSIM 2013_03_14_16_59_31
580 karage CMSSW_5_3_3_patch2 V17-12 Complete /SMS-MadGraph_Pythia6Zstar_8TeV_T1tttt_2J_mGo-800to1400_mLSP-1_50GeVX50GeV_Binning/Summer12-START52_V9_FSIM-v2/AODSIM 2013_03_14_17_33_24
585 karage CMSSW_5_3_3_patch2 V17-12 Complete /SMS-MadGraph_Pythia6Zstar_8TeV_T1tttt_2J_mGo-400to750_mLSP-1_50GeVX50GeV_Binning/Summer12-START52_V9_FSIM-v1/AODSIM 2013_03_14_17_59_42
586 karage CMSSW_5_3_3_patch2 V17-12 Complete /SMS-MadGraph_Pythia6Zstar_8TeV_T1tttt_2J_mGo-400to750_mLSP-1_50GeVX50GeV_Binning/Summer12-START52_V9_FSIM-v1/AODSIM 2013_03_14_18_21_41
644 zmeng CMSSW_5_3_3_patch2 V17-17 Processing /SMS-MadGraph_T1bbbb_2J_mGo-400to750_mLSP-0to700_50GeVX50GeV_Binning_8TeV-Pythia6Zstar/Summer12-START52_V9_FSIM-v1/AODSIM 2013_04_10_15_45_58
647 georgia CMSSW_5_3_9 V17-17 Processing /SingleMu25ns/Run2012D-PromptReco-v1/RECO 2013_04_14_21_30_45
652 agapitos CMSSW_5_3_3_patch2 V17-19 Processing /SMS-T5tttt_mGo-800to1200_mStop-225to1025_mLSP_50_8TeV-Madgraph_1000_1075/Summer12-START52_V9_FSIM_UFL/USER 2013_04_27_04_06_49
664 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012B-05Nov2012-v2/AOD 2013_05_11_18_36_50
665 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012D-part1_10Dec2012-v1/AOD 2013_05_12_17_17_23
665 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012D-part2_17Jan2013-v1/AOD 2013_05_12_17_17_23
666 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012C-part1_05Nov2012-v2/AOD 2013_05_12_17_57_06
667 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012C-part2_05Nov2012-v2/AOD 2013_05_12_18_37_33
668 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012B-05Nov2012-v2/AOD 2013_05_12_19_18_32
669 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012D-part1_10Dec2012-v1/AOD 2013_05_12_19_44_53
669 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012D-part2_17Jan2013-v1/AOD 2013_05_12_19_44_53
670 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012C-part1_05Nov2012-v2/AOD 2013_05_12_20_02_56
671 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /MultiJet1Parked/Run2012C-part2_05Nov2012-v2/AOD 2013_05_12_20_29_31
683 clucas CMSSW_5_3_3_patch2 V17-22 Processing /WJetsToLNu_TuneZ2Star_8TeV-madgraph-tarball/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM 2013_07_02_11_39_38
685 karage CMSSW_5_3_3_patch2 V17-25 Complete /SMS-T1tttt_2J_mGo-845to3000_mLSP-1to1355_TuneZ2star_14TeV-madgraph-tauola/Summer12-START53_V7C_FSIM_PU_S12-v1/AODSIM 2013_07_11_11_58_36
